RISOE_A1_18 airfoil with an aspect ratio of 17.  Original -180 to 180deg Cl, Cd, and Cm versus AOA data taken from Appendix A of DOWEC document 10046_009.pdf (numerical values obtained from Koert Lindenburg of ECN).
Cl and Cd values corrected for rotational stall delay and Cd values corrected using the Viterna method for 0 to 90deg AOA by Jason Jonkman using AirfoilPrep_v2p0.xls.
   1        Number of airfoil tables in this file
   0.0      Table ID parameter
  10.00     Stall angle (deg)
   0.00	    No longer used, enter zero                                                      
   0.00	    No longer used, enter zero                                                      
   0.00	    No longer used, enter zero
  -3.6887   Zero Cn angle of attack (deg)
   6.7401   Cn slope for zero lift (dimensionless)
   1.6103   Cn extrapolated to value at positive stall angle of attack
  -0.3738   Cn at stall value for negative angle of attack
   0.00     Angle of attack for minimum CD (deg)
   0.0070   Minimum CD value
-180.00    0.000   0.0100   0.0000
-175.00    0.233   0.0100   0.2000
-170.00    0.467   0.0100   0.4000
-160.00    0.933   0.1414   0.0166
-155.00    0.922   0.2542   0.0712
-150.00    0.911   0.3670   0.1258
-145.00    0.866   0.5057   0.1596
-140.00    0.821   0.6443   0.1935
-135.00    0.771   0.7923   0.2252
-130.00    0.720   0.9403   0.2569
-125.00    0.651   1.0802   0.2897
-120.00    0.583   1.2200   0.3225
-115.00    0.495   1.3352   0.3550
-110.00    0.408   1.4504   0.3874
-105.00    0.308   1.5274   0.4165
-100.00    0.208   1.6045   0.4456
 -95.00    0.104   1.6345   0.4678
 -90.00    0.000   1.6645   0.4900
 -85.00   -0.104   1.6345   0.5002
 -80.00   -0.208   1.6045   0.5103
 -75.00   -0.308   1.5274   0.5110
 -70.00   -0.408   1.4504   0.5116
 -65.00   -0.495   1.3352   0.5054
 -60.00   -0.583   1.2200   0.4993
 -55.00   -0.651   1.0802   0.4908
 -50.00   -0.720   0.9403   0.4824
 -45.00   -0.771   0.7923   0.4791
 -40.00   -0.821   0.6443   0.4759
 -35.00   -0.866   0.5057   0.4921
 -30.00   -0.911   0.3670   0.5083
 -25.00   -0.908   0.2661   0.5461
 -24.00   -0.908   0.2459   0.5537
 -23.00   -0.907   0.2258   0.5613
 -22.00   -0.907   0.2056   0.5689
 -21.00   -0.906   0.1854   0.5764
 -20.00   -0.906   0.1652   0.5840
 -19.00   -0.845   0.1573   0.5609
 -18.00   -0.785   0.1494   0.5379
 -17.00   -0.725   0.1415   0.5148
 -16.00   -0.664   0.1336   0.4917
 -15.00   -0.604   0.1257   0.4686
 -14.50   -0.574   0.1217   0.4571
 -12.01   -0.423   0.1020   0.3995
 -11.00   -0.363   0.0940   0.3763
  -9.98   -0.302   0.0864   0.3528
  -8.12   -0.166   0.0716   0.3019
  -7.62   -0.128   0.0675   0.2881
  -7.11   -0.091   0.0635   0.2741
  -6.60   -0.053   0.0594   0.2601
  -6.50   -0.046   0.0586   0.2575
  -6.00   -0.010   0.0547   0.2438
  -5.50    0.027   0.0507   0.2301
  -5.00    0.064   0.0467   0.2165
  -4.50    0.100   0.0427   0.2028
  -4.00    0.137   0.0388   0.1891
  -3.50    0.174   0.0348   0.1754
  -3.00    0.211   0.0308   0.1618
  -2.50    0.247   0.0268   0.1481
  -2.00    0.284   0.0229   0.1344
  -1.50    0.321   0.0189   0.1207
  -1.00    0.357   0.0149   0.1071
  -0.50    0.394   0.0110   0.0934
   0.00    0.431   0.0070   0.0797
   0.50    0.490   0.0072   0.0805
   1.00    0.550   0.0074   0.0813
   1.50    0.610   0.0074   0.0822
   2.00    0.670   0.0073   0.0831
   2.50    0.730   0.0073   0.0839
   3.00    0.789   0.0073   0.0848
   3.50    0.849   0.0073   0.0857
   4.00    0.907   0.0076   0.0864
   4.50    0.967   0.0075   0.0873
   5.00    1.026   0.0076   0.0883
   5.50    1.085   0.0076   0.0891
   6.00    1.144   0.0077   0.0900
   6.50    1.202   0.0079   0.0907
   7.00    1.261   0.0079   0.0917
   7.50    1.319   0.0080   0.0925
   8.00    1.377   0.0082   0.0932
   8.50    1.429   0.0089   0.0934
   9.00    1.471   0.0107   0.0926
   9.50    1.518   0.0119   0.0922
  10.00    1.563   0.0131   0.0917
  10.50    1.607   0.0142   0.0910
  11.00    1.646   0.0156   0.0899
  11.50    1.665   0.0180   0.0864
  12.00    1.641   0.0227   0.0809
  12.50    1.600   0.0319   0.0809
  13.00    1.559   0.0405   0.0795
  13.50    1.530   0.0486   0.0788
  14.00    1.519   0.0548   0.0782
  14.50    1.519   0.0608   0.0784
  15.00    1.519   0.0671   0.0790
  15.50    1.527   0.0725   0.0796
  16.00    1.527   0.0791   0.0806
  16.50    1.535   0.0847   0.0815
  17.00    1.536   0.0916   0.0829
  17.50    1.531   0.0996   0.0848
  18.00    1.540   0.1053   0.0862
  18.50    1.539   0.1130   0.0884
  19.00    1.535   0.1212   0.0910
  19.50    1.528   0.1300   0.0940
  20.00    1.509   0.1412   0.0984
  20.50    1.489   0.1533   0.1036
  21.00    1.489   0.1614   0.1074
  22.00    1.470   0.1821   0.1182
  23.00    1.450   0.2055   0.1039
  24.00    1.430   0.2288   0.0896
  25.00    1.409   0.2522   0.0754
  26.00    1.389   0.2756   0.0611
  28.00    1.348   0.3224   0.0325
  30.00    1.307   0.3692   0.0040
  32.00    1.281   0.4250  -0.0121
  35.00    1.243   0.5085  -0.0363
  40.00    1.178   0.6478  -0.0767
  45.00    1.106   0.7962  -0.1082
  50.00    1.033   0.9446  -0.1398
  55.00    0.934   1.0845  -0.1688
  60.00    0.836   1.2243  -0.1978
  65.00    0.710   1.3392  -0.2249
  70.00    0.585   1.4538  -0.2521
  75.00    0.441   1.5301  -0.2767
  80.00    0.297   1.6061  -0.3013
  85.00    0.148   1.6351  -0.3218
  90.00    0.000   1.6645  -0.3422
  95.00   -0.104   1.6345  -0.3524
 100.00   -0.208   1.6045  -0.3625
 105.00   -0.308   1.5274  -0.3632
 110.00   -0.408   1.4504  -0.3638
 115.00   -0.495   1.3352  -0.3576
 120.00   -0.583   1.2200  -0.3515
 125.00   -0.651   1.0802  -0.3430
 130.00   -0.720   0.9403  -0.3346
 135.00   -0.771   0.7923  -0.3313
 140.00   -0.821   0.6443  -0.3281
 145.00   -0.866   0.5057  -0.3443
 150.00   -0.911   0.3670  -0.3605
 155.00   -0.922   0.2542  -0.4033
 160.00   -0.933   0.1414  -0.4461
 170.00   -0.467   0.0100  -0.5000
 175.00   -0.233   0.0100  -0.2500
 180.00    0.000   0.0100   0.0000
